event_id,event_name,event_completed,player_name,player_id,finish_position,round_num,birdies,bogies,course_name,course_num,course_par,doubles_or_worse,driving_acc,driving_dist,eagles_or_better,gir,great_shots,pars,poor_shots,prox_fw,prox_rgh,round_score,scrambling,sg_app,sg_arg,sg_ott,sg_putt,sg_t2g,sg_total,start_hole,teetime
10,The Honda Classic,2023-02-26,"Kirk, Chris",12423,1,1,2.0,1.0,PGA National Resort (The Champion),734,70,0.0,0.571,281.3,0.0,0.667,2.0,15.0,3.0,28.944,23.543,69.0,0.714,1.704,1.206,0.965,-1.806,3.875,2.069,10,12:29pm
10,The Honda Classic,2023-02-26,"Kirk, Chris",12423,1,2,6.0,0.0,PGA National Resort (The Champion),734,70,0.0,0.786,283.9,1.0,0.889,7.0,11.0,2.0,21.333,31.044,62.0,1.0,3.425,0.349,1.239,3.367,5.013,8.38,1,7:34am
10,The Honda Classic,2023-02-26,"Kirk, Chris",12423,1,3,6.0,2.0,PGA National Resort (The Champion),734,70,0.0,0.571,280.4,0.0,0.722,4.0,10.0,2.0,26.967,39.215,66.0,0.571,1.182,-0.372,0.164,2.313,0.975,3.287,1,12:30pm
10,The Honda Classic,2023-02-26,"Kirk, Chris",12423,1,4,4.0,3.0,PGA National Resort (The Champion),734,70,0.0,0.571,279.8,0.0,0.722,3.0,11.0,3.0,31.386,33.127,69.0,0.75,0.003,-0.455,-0.135,1.7,-0.587,1.112,1,1:35pm
10,The Honda Classic,2023-02-26,"Cole, Eric",21756,2,1,3.0,2.0,PGA National Resort (The Champion),734,70,0.0,0.571,279.8,1.0,0.556,3.0,12.0,2.0,25.736,44.04,67.0,0.818,1.739,1.067,0.659,0.604,3.465,4.069,10,1:13pm
10,The Honda Classic,2023-02-26,"Cole, Eric",21756,2,2,5.0,1.0,PGA National Resort (The Champion),734,70,0.0,0.5,285.1,0.0,0.833,2.0,12.0,1.0,23.713,39.525,66.0,1.0,3.661,-0.229,0.197,0.751,3.629,4.38,1,8:18am
10,The Honda Classic,2023-02-26,"Cole, Eric",21756,2,3,5.0,1.0,PGA National Resort (The Champion),734,70,0.0,0.786,276.5,0.0,0.667,6.0,12.0,2.0,32.248,18.301,66.0,0.714,0.987,-0.887,0.808,2.379,0.909,3.287,1,12:19pm
10,The Honda Classic,2023-02-26,"Cole, Eric",21756,2,4,5.0,2.0,PGA National Resort (The Champion),734,70,0.0,0.643,282.1,0.0,0.611,3.0,11.0,2.0,38.493,57.497,67.0,0.778,-2.102,-0.084,0.611,4.687,-1.574,3.112,1,1:35pm
10,The Honda Classic,2023-02-26,"Duncan, Tyler",18187,3,1,5.0,2.0,PGA National Resort (The Champion),734,70,0.0,0.714,281.1,0.0,0.611,3.0,11.0,2.0,31.43,43.864,67.0,0.8,1.015,0.293,0.983,1.778,2.291,4.069,1,7:23am
10,The Honda Classic,2023-02-26,"Duncan, Tyler",18187,3,2,4.0,1.0,PGA National Resort (The Champion),734,70,0.0,0.929,284.2,0.0,0.667,4.0,13.0,4.0,33.922,,67.0,0.833,-1.205,0.127,1.857,2.601,0.779,3.38,10,12:18pm
10,The Honda Classic,2023-02-26,"Duncan, Tyler",18187,3,3,4.0,2.0,PGA National Resort (The Champion),734,70,0.0,0.714,280.0,0.0,0.667,3.0,12.0,1.0,34.426,35.899,68.0,0.5,-1.553,0.69,1.335,0.815,0.473,1.287,1,12:08pm
10,The Honda Classic,2023-02-26,"Duncan, Tyler",18187,3,4,5.0,1.0,PGA National Resort (The Champion),734,70,0.0,0.643,277.8,0.0,0.833,3.0,12.0,1.0,39.483,45.362,66.0,1.0,1.201,1.717,0.269,0.926,3.187,4.112,1,1:05pm
10,The Honda Classic,2023-02-26,"Gerard, Ryan",29767,4,1,3.0,2.0,PGA National Resort (The Champion),734,70,0.0,0.429,278.0,0.0,0.556,5.0,13.0,2.0,43.435,38.145,69.0,0.8,-0.026,0.098,0.112,1.885,0.184,2.069,10,1:24pm
10,The Honda Classic,2023-02-26,"Gerard, Ryan",29767,4,2,6.0,1.0,PGA National Resort (The Champion),734,70,0.0,0.857,283.3,1.0,0.889,5.0,10.0,1.0,26.814,4.977,63.0,0.667,4.535,0.237,1.759,0.849,6.531,7.38,1,8:29am
10,The Honda Classic,2023-02-26,"Gerard, Ryan",29767,4,3,3.0,2.0,PGA National Resort (The Champion),734,70,1.0,0.571,276.3,0.0,0.722,1.0,12.0,3.0,35.046,35.809,71.0,0.5,0.346,-0.866,-0.108,-1.085,-0.628,-1.713,1,12:30pm
10,The Honda Classic,2023-02-26,"Gerard, Ryan",29767,4,4,2.0,1.0,PGA National Resort (The Champion),734,70,0.0,0.643,291.5,1.0,0.667,4.0,14.0,3.0,26.644,14.752,67.0,1.0,2.138,0.288,-0.092,0.779,2.334,3.112,1,12:45pm
10,The Honda Classic,2023-02-26,"Lowry, Shane",13900,T5,1,4.0,2.0,PGA National Resort (The Champion),734,70,0.0,0.714,284.9,0.0,0.833,3.0,12.0,1.0,30.586,73.433,68.0,0.2,2.416,1.103,1.295,-1.745,4.814,3.069,10,7:34am
10,The Honda Classic,2023-02-26,"Lowry, Shane",13900,T5,2,3.0,1.0,PGA National Resort (The Champion),734,70,0.0,0.643,281.9,0.0,0.667,3.0,14.0,0.0,32.913,61.862,68.0,0.857,-0.962,0.094,0.703,2.545,-0.165,2.38,1,12:29pm
10,The Honda Classic,2023-02-26,"Lowry, Shane",13900,T5,3,7.0,2.0,PGA National Resort (The Champion),734,70,0.0,0.786,283.2,0.0,0.667,6.0,9.0,3.0,35.678,11.29,65.0,0.714,0.319,1.478,0.97,1.52,2.768,4.287,1,11:24am
10,The Honda Classic,2023-02-26,"Lowry, Shane",13900,T5,4,2.0,2.0,PGA National Resort (The Champion),734,70,0.0,0.786,284.8,0.0,0.889,2.0,14.0,2.0,22.613,24.707,70.0,0.5,3.293,-0.698,0.909,-3.391,3.504,0.112,1,1:25pm
